postcode,dry,dry,dry,dry,mix,mix,mix,mix,fresh,fresh,fresh,fresh
36150,95,110,200,365,220,240,260,260,350,390,450,530
36180,95,110,200,365,220,240,260,260,350,390,450,530
36260,95,110,200,365,220,240,260,260,350,390,450,530
37000,95,110,200,365,220,240,260,260,350,390,450,530
37210,95,110,200,365,220,240,260,260,350,390,450,530
37110,95,110,200,365,220,240,260,260,350,390,450,530
37180,95,110,200,365,220,240,260,260,350,390,450,530
37290,95,110,200,365,220,240,260,260,350,390,450,530
37240,95,110,200,365,220,240,260,260,350,390,450,530
38000,95,110,200,365,220,240,260,260,350,390,450,530
38180,95,110,200,365,220,240,260,260,350,390,450,530
38170,95,110,200,365,220,240,260,260,350,390,450,530
38150,95,110,200,365,220,240,260,260,350,390,450,530
38190,95,110,200,365,220,240,260,260,350,390,450,530
38220,95,110,200,365,220,240,260,260,350,390,450,530
38210,95,110,200,365,220,240,260,260,350,390,450,530
39000,95,110,200,365,220,240,260,260,350,390,450,530
39170,95,110,200,365,220,240,260,260,350,390,450,530
39350,95,110,200,365,220,240,260,260,350,390,450,530
39140,95,110,200,365,220,240,260,260,350,390,450,530
39180,95,110,200,365,220,240,260,260,350,390,450,530
39270,95,110,200,365,220,240,260,260,350,390,450,530
40000,95,110,200,365,220,240,260,260,350,390,450,530
40260,95,110,200,365,220,240,260,260,350,390,450,530
40270,95,110,200,365,220,240,260,260,350,390,450,530
40320,95,110,200,365,220,240,260,260,350,390,450,530
40210,95,110,200,365,220,240,260,260,350,390,450,530
40240,95,110,200,365,220,240,260,260,350,390,450,530
40130,95,110,200,365,220,240,260,260,350,390,450,530
40290,95,110,200,365,220,240,260,260,350,390,450,530
40220,95,110,200,365,220,240,260,260,350,390,450,530
40140,95,110,200,365,220,240,260,260,350,390,450,530
40310,95,110,200,365,220,240,260,260,350,390,450,530
40250,95,110,200,365,220,240,260,260,350,390,450,530
40170,95,110,200,365,220,240,260,260,350,390,450,530
40110,95,110,200,365,220,240,260,260,350,390,450,530
40340,95,110,200,365,220,240,260,260,350,390,450,530
40120,95,110,200,365,220,240,260,260,350,390,450,530
40330,95,110,200,365,220,240,260,260,350,390,450,530
40230,95,110,200,365,220,240,260,260,350,390,450,530
40190,95,110,200,365,220,240,260,260,350,390,450,530
40150,95,110,200,365,220,240,260,260,350,390,450,530
40160,95,110,200,365,220,240,260,260,350,390,450,530
40180,95,110,200,365,220,240,260,260,350,390,450,530
40280,95,110,200,365,220,240,260,260,350,390,450,530
40350,95,110,200,365,220,240,260,260,350,390,450,530
41000,95,110,200,365,220,240,260,260,350,390,450,530
41330,95,110,200,365,220,240,260,260,350,390,450,530
41250,95,110,200,365,220,240,260,260,350,390,450,530
41360,95,110,200,365,220,240,260,260,350,390,450,530
41220,95,110,200,365,220,240,260,260,350,390,450,530
41110,95,110,200,365,220,240,260,260,350,390,450,530
41370,95,110,200,365,220,240,260,260,350,390,450,530
41240,95,110,200,365,220,240,260,260,350,390,450,530
41130,95,110,200,365,220,240,260,260,350,390,450,530
41320,95,110,200,365,220,240,260,260,350,390,450,530
41310,95,110,200,365,220,240,260,260,350,390,450,530
41290,95,110,200,365,220,240,260,260,350,390,450,530
41230,95,110,200,365,220,240,260,260,350,390,450,530
41280,95,110,200,365,220,240,260,260,350,390,450,530
41190,95,110,200,365,220,240,260,260,350,390,450,530
41160,95,110,200,365,220,240,260,260,350,390,450,530
41210,95,110,200,365,220,240,260,260,350,390,450,530
41150,95,110,200,365,220,240,260,260,350,390,450,530
41260,95,110,200,365,220,240,260,260,350,390,450,530
41340,95,110,200,365,220,240,260,260,350,390,450,530
41380,95,110,200,365,220,240,260,260,350,390,450,530
42000,95,110,200,365,220,240,260,260,350,390,450,530
42100,95,110,200,365,220,240,260,260,350,390,450,530
42210,95,110,200,365,220,240,260,260,350,390,450,530
42110,95,110,200,365,220,240,260,260,350,390,450,530
42150,95,110,200,365,220,240,260,260,350,390,450,530
42120,95,110,200,365,220,240,260,260,350,390,450,530
42170,95,110,200,365,220,240,260,260,350,390,450,530
42160,95,110,200,365,220,240,260,260,350,390,450,530
42140,95,110,200,365,220,240,260,260,350,390,450,530
42130,95,110,200,365,220,240,260,260,350,390,450,530
42180,95,110,200,365,220,240,260,260,350,390,450,530
42230,95,110,200,365,220,240,260,260,350,390,450,530
42240,95,110,200,365,220,240,260,260,350,390,450,530
42220,95,110,200,365,220,240,260,260,350,390,450,530
42190,95,110,200,365,220,240,260,260,350,390,450,530
43000,95,110,200,365,220,240,260,260,350,390,450,530
